"","MAP","MFRI"
"109",449.528458690048,11.167
"110",443.485405864889,13.4
"111",438.092766329439,13.4
"112",436.361968510014,11.167
"113",430.588905314079,13.4
"114",423.895217426562,33.5
"115",420.52142284728,33.5
"116",420.248919842851,33.5
"117",418.153822310341,33.5
"118",414.28715571574,33.5
"119",411.851047107171,67
"120",409.918956728195,67
"121",408.836264494485,67
"122",454.843966743997,13.4
"123",460.768727884278,11.167
"124",458.34158988849,13.4
"125",458.46275364906,16.75
"126",464.82529627691,16.75
"127",460.741282590722,22.333
"128",454.244111498022,33.5
"129",453.527184429138,33.5
"130",446.539135763288,33.5
"131",442.546526252937,33.5
"132",440.821916903339,33.5
"133",443.564422054126,33.5
"134",444.320289369827,22.333
"135",433.253330632069,22.333
"136",429.087894755626,13.4
"137",427.550972031112,13.4
"138",422.819042266742,13.4
"139",421.043362908948,33.5
"140",423.149555959097,33.5
"141",417.276007040937,33.5
"142",411.750469436675,33.5
"143",407.777143369975,67
"144",408.602358422825,67
"145",409.510115575261,67
"146",408.691164885109,67
"147",407,67
"148",458,13.4
"149",456.881580546298,13.4
"150",458.838846581742,13.4
"151",461.521368536832,16.75
"152",461.669865460447,16.75
"153",457.499009126627,22.333
"154",450.711781298569,33.5
"155",446.148879414888,33.5
"156",442.265829610989,33.5
"157",437.408241946489,33.5
"158",432.610680593555,33.5
"159",429.601016534205,33.5
"160",431.02171401855,33.5
"161",430.752983658003,33.5
"162",425.657345508758,33.5
"163",423.377063181255,22.333
"164",419.910714062445,33.5
"165",415.194841693907,33.5
"166",411.358492305293,33.5
"167",407.12154420303,33.5
"168",406.716420665042,33.5
"169",405.796172860409,33.5
"170",405.773065517712,22.333
"171",408.030376697137,67
"172",408.670630929688,67
"173",406.819917762575,67
"174",455.170696694635,16.75
"175",453.040494432508,16.75
"176",454.661961074259,22.333
"177",458.678797305535,22.333
"178",469.790679534063,22.333
"179",477.612461394458,22.333
"180",468.184583228693,33.5
"181",450.687998778163,33.5
"182",440.064832155169,33.5
"183",435.138593812004,33.5
"184",427.646134659353,33.5
"185",421.061975986596,33.5
"186",433.006406530748,33.5
"187",438.652169079388,33.5
"188",421.219517780651,33.5
"189",417.851993579898,67
"190",415.744880337196,67
"191",410.137164108179,67
"192",408.832976792232,67
"193",408.153799942806,67
"194",407.336526861517,67
"195",406.550901721968,67
"196",405.152744481998,33.5
"197",405,33.5
"198",405.296342417454,67
"199",406.211684878783,33.5
"200",406.332957790658,67
"201",405.466055948162,67
"202",454.156172369071,16.75
"203",453.048222880701,16.75
"204",452.452593459168,16.75
"205",451.998238126772,22.333
"206",455.707555840302,22.333
"207",460.010392635611,16.75
"208",467.038209759078,16.75
"209",475.21286651509,33.5
"210",477.022078313549,67
"211",456.620190173172,67
"212",433.664907587421,67
"213",427.884175707805,67
"214",418.303079514277,67
"215",417.126069737316,67
"216",418.23281703128,67
"217",412,67
"218",412.331107820595,67
"219",411.94946911627,67
"220",410.021734301035,67
"221",409.63236331907,67
"222",409.80394263578,67
"223",408.598868146029,67
"224",407.799388298913,67
"225",405.761768651925,67
"226",405.23533953489,67
"227",405.250552904404,67
"228",405.440117931581,67
"229",405.791212353357,67
"230",405.444146915853,67
"231",406.33817988363,67
"232",450.30520682085,16.75
"233",448.580081013406,16.75
"234",450.58109126691,22.333
"235",455.633642505642,22.333
"236",459.085554139304,22.333
"237",465.755294931612,33.5
"238",479.602782735061,67
"239",485.497901753893,67
"240",486.940683651358,67
"241",479.366483495352,67
"242",455.000437530197,67
"243",429.777967852165,67
"244",414.758104917133,67
"245",417.341455022136,67
"246",415.955917622299,67
"247",413.58073301489,67
"248",412.9891654452,33.5
"249",412.584654044514,67
"250",410.589886242996,67
"251",408.891682179881,67
"252",408.965565850914,67
"253",409.468087456901,67
"254",406,67
"255",405.866620581791,67
"256",404.893530959925,22.333
"257",403.836497702371,67
"258",404.919519055871,67
"259",403.896291655104,33.5
"260",405.657035446673,13.4
"261",443.161407732862,16.75
"262",446.178683711782,16.75
"263",448.972088992125,22.333
"264",456.685729572401,33.5
"265",461.76754439525,33.5
"266",460.885067302385,33.5
"267",475.016204553393,67
"268",489.147643533484,67
"269",488.41578000492,33.5
"270",470.054855535174,33.5
"271",443.474993058169,33.5
"272",430.114305903872,33.5
"273",431.583157475824,11.167
"274",448.252645903622,11.167
"275",440.69444801834,11.167
"276",425.021792762857,11.167
"277",417.399492395349,9.571
"278",416.193032328935,67
"279",417.247196448868,16.75
"280",415.783919357266,16.75
"281",413.526530711272,67
"282",411.459537737222,33.5
"283",407.834439465858,33.5
"284",406.999995447338,33.5
"285",405.906163425771,33.5
"286",405.797598880051,33.5
"287",405.744838411512,33.5
"288",404.976886966541,33.5
"289",403.879759785407,16.75
"290",435.64214124738,16.75
"291",431.566616035718,33.5
"292",429.019652436134,33.5
"293",430.11047133092,33.5
"294",431.274817471683,33.5
"295",433.8712662462,33.5
"296",442.945872379809,67
"297",452.362829017235,67
"298",458.409012151001,11.167
"299",475.459119573663,11.167
"300",481.033540475343,11.167
"301",472.479484159446,11.167
"302",464.369936093833,11.167
"303",441.904874806952,11.167
"304",444.167653415451,11.167
"305",443.445691749347,11.167
"306",427.33779369038,9.571
"307",421.510536899837,9.571
"308",423.236531121641,9.571
"309",424.034833801866,11.167
"310",422.133041904287,11.167
"311",420.275709936392,16.75
"312",416.442117198097,33.5
"313",414.175291914145,33.5
"314",413.35636880267,33.5
"315",412.345288979326,33.5
"316",412.037201299448,33.5
"317",409.616136436846,33.5
"318",407.477556732831,16.75
"319",406.010513496557,13.4
"320",436.601725440087,16.75
"321",445.841499833536,11.167
"322",442.216647883081,11.167
"323",438.494496108924,11.167
"324",443.959197517548,11.167
"325",446.537828537536,11.167
"326",447.611059321386,13.4
"327",450.774516108717,11.167
"328",455.18135415814,11.167
"329",471.911094168132,9.571
"330",493.165901933209,9.571
"331",490.512014229614,11.167
"332",486.589208663503,11.167
"333",481.036613504001,11.167
"334",478.79855994793,11.167
"335",473.893682873842,11.167
"336",450.529838101393,8.375
"337",436.05608901612,9.571
"338",432.689896499439,9.571
"339",428.506461454727,9.571
"340",429.154619263131,11.167
"341",427.064750258093,13.4
"342",425.23872586064,16.75
"343",422.260346197006,16.75
"344",420.326977932056,16.75
"345",418.078354368179,16.75
"346",416.704289327963,16.75
"347",415.236062162886,16.75
"348",416.764878824545,16.75
"349",414.021879391627,16.75
"350",477.565738768318,11.167
"351",475.337814532384,11.167
"352",462.500563201566,11.167
"353",451.213957652056,11.167
"354",448.188103954693,11.167
"355",448.815846636266,9.571
"356",450.938545853363,8.375
"357",447.302442580173,9.571
"358",446.6718896239,11.167
"359",461.071190993504,11.167
"360",476.534719303131,11.167
"361",487.744503408219,9.571
"362",494.40166697158,9.571
"363",483.08087775163,8.375
"364",479.76022082365,9.571
"365",481.481157977524,9.571
"366",463.602025413195,8.375
"367",442.750466250708,9.571
"368",436.585179000356,9.571
"369",432.095746812521,9.571
"370",435.773294523227,11.167
"371",431.987306172587,11.167
"372",430.970709806778,16.75
"373",428.189844946792,16.75
"374",428.639607498623,16.75
"375",424.893248961402,16.75
"376",421.734935378096,13.4
"377",422.82729802278,16.75
"378",428.531447841316,22.333
"379",440.26094754419,16.75
"380",486.491621246772,11.167
"381",486.917752699335,11.167
"382",483.916730689534,11.167
"383",472.064718286053,11.167
"384",456.013186965423,11.167
"385",452.164070617306,11.167
"386",451.025499119041,9.571
"387",450.16465082927,8.375
"388",448.28658062403,9.571
"389",450.14670346481,9.571
"390",458.690072819054,9.571
"391",470.009309560175,9.571
"392",477.761849775544,9.571
"393",487.377726451462,8.375
"394",485.211702068008,7.444
"395",483.308192460018,8.375
"396",489.24530479473,7.444
"397",480.708831250168,9.571
"398",458.91123562247,8.375
"399",444.429549773649,9.571
"400",440.459379886805,9.571
"401",442.327793231154,9.571
"402",443.959639727341,11.167
"403",440.513410755743,16.75
"404",438.733443814254,16.75
"405",436.658094670113,16.75
"406",431.574202232298,13.4
"407",434.669759508801,16.75
"408",435.930622291448,16.75
"409",443.308709391247,22.333
"410",456.991707088323,16.75
"411",473,13.4
"412",472.705974439735,11.167
"413",481.259323194997,11.167
"414",477.240984554563,11.167
"415",475.923065299513,11.167
"416",475.008203277595,11.167
"417",471.059962812187,11.167
"418",467.365921954675,8.375
"419",458.848740549421,8.375
"420",453.02360426542,9.571
"421",457.924027634569,9.571
"422",457.626971578366,9.571
"423",456.545740093712,9.571
"424",461.550976616763,9.571
"425",467.637063955815,9.571
"426",472.88146571755,8.375
"427",477.244327674698,8.375
"428",479.178728812435,8.375
"429",467.496741082073,8.375
"430",457.800314475316,8.375
"431",450.65185034395,7.444
"432",449.128205398741,8.375
"433",455.894514339804,8.375
"434",453.837993916184,11.167
"435",449.273252427563,11.167
"436",446.029411591653,16.75
"437",443.429806856549,13.4
"438",443.146363052715,13.4
"439",448.458707866623,16.75
"440",456.697286792197,16.75
"441",459.052861916228,11.167
"442",464.95596808578,13.4
"443",476.009833307529,9.571
"444",458.713076869801,11.167
"445",482.892033316186,11.167
"446",490.429482337399,11.167
"447",496.576856147769,11.167
"448",495.123349224586,11.167
"449",488.448259120014,11.167
"450",484.194866009118,9.571
"451",478.891034819415,8.375
"452",468.477723086217,9.571
"453",458.727372454036,9.571
"454",460.512653257011,9.571
"455",463.356090227709,7.444
"456",464.926237215577,7.444
"457",465.721947973608,8.375
"458",470.227563236444,8.375
"459",472.886920020658,8.375
"460",476.492284316877,7.444
"461",478.365359415063,8.375
"462",466.769568614612,8.375
"463",460.195720265317,7.444
"464",457.479594724339,8.375
"465",458.007705300695,8.375
"466",464.740915926442,7.444
"467",467.120982668394,8.375
"468",458.814984833453,9.571
"469",454.682094456871,11.167
"470",452.190217286108,11.167
"471",457.446909501374,13.4
"472",463.715253682939,11.167
"473",475.334461786684,13.4
"474",471.793044547309,13.4
"475",475.765241889447,13.4
"476",483.923546816987,9.571
"477",452.527555235003,11.167
"478",470.012888689418,11.167
"479",488.253585368195,11.167
"480",495.307938517415,11.167
"481",500.994684017823,11.167
"482",498.111183164314,11.167
"483",493.69786763922,9.571
"484",487.019870543529,8.375
"485",477.741792568734,9.571
"486",474.586579875571,9.571
"487",466.138589426281,7.444
"488",470.135389510454,7.444
"489",473.812260053602,6.7
"490",467.116213329443,5.583
"491",472.340939214235,6.091
"492",476.859713790344,5.583
"493",481.882573286114,6.091
"494",481.826670508412,7.444
"495",473.348623352638,8.375
"496",466.158867079452,8.375
"497",464.776617534002,8.375
"498",470.202230413054,7.444
"499",477.226060738492,7.444
"500",479.404367113315,7.444
"501",470.839007363049,9.571
"502",466.019423284616,9.571
"503",462.874704758917,9.571
"504",472.255187287708,13.4
"505",469.343167010089,13.4
"506",484.289904159443,13.4
"507",481.195744625882,13.4
"508",482.904705288555,13.4
"509",488.599817950997,7.444
"510",496.674701221684,6.7
"511",453,13.4
"512",449.142960707086,13.4
"513",472.108022100525,9.571
"514",500.863781514065,9.571
"515",499.128992507831,9.571
"516",497.967970449277,9.571
"517",495.390641465377,8.375
"518",497.403506856169,7.444
"519",502.239778129138,7.444
"520",490.508186874755,8.375
"521",479.879355532304,9.571
"522",468.390037896628,8.375
"523",467.173065781333,7.444
"524",471.300626683617,6.091
"525",474.888827802199,5.583
"526",473.390904162073,6.091
"527",477.920231030787,6.091
"528",483.999942995993,5.583
"529",489.082906969228,6.091
"530",482.10305250704,8.375
"531",473.269395532896,8.375
"532",474.398622159861,8.375
"533",483.611979989009,8.375
"534",491.639271273155,7.444
"535",485.783859316913,7.444
"536",479.394300249623,8.375
"537",471.567848141677,11.167
"538",474.64503534483,11.167
"539",482.574549968462,9.571
"540",478.578393590987,9.571
"541",486.359698513113,13.4
"542",491.697905846669,11.167
"543",493.348670921005,8.375
"544",498.872531354394,6.7
"545",498.33535733295,6.091
"546",457.548603615738,11.167
"547",461.990123255057,11.167
"548",458.533730645398,11.167
"549",445.914877124122,13.4
"550",457.264860906797,13.4
"551",467.923167198084,13.4
"552",458.806959760382,8.375
"553",452.788739893983,8.375
"554",459.008320336851,9.571
"555",479.725074504729,8.375
"556",505.634158810423,8.375
"557",508.385330521934,8.375
"558",513.568543158328,7.444
"559",498.296729770873,8.375
"560",487.54111266527,7.444
"561",474.039571676687,6.7
"562",469.674850375044,6.091
"563",472.367612470568,6.7
"564",476.353605362434,7.444
"565",476.260384463235,7.444
"566",482.219414306094,6.7
"567",486.055455713958,6.091
"568",489.206630048386,6.091
"569",488.94097653792,8.375
"570",482.900086897986,8.375
"571",482.723246137622,8.375
"572",495.473207945387,7.444
"573",513.343199314357,7.444
"574",500.272955656242,7.444
"575",485.624655124682,7.444
"576",486.888773557581,9.571
"577",486.631905074748,9.571
"578",488.630324926018,11.167
"579",494.041401389414,9.571
"580",486.57057152314,9.571
"581",494.700718068194,8.375
"582",501.93578461366,5.154
"583",501.121742033017,4.786
"584",498.929306108205,5.154
"585",477,11.167
"586",471.701693803713,11.167
"587",465.254558007954,11.167
"588",462.198593225028,11.167
"589",456.948420331217,11.167
"590",461.242658072722,13.4
"591",458.511949280899,13.4
"592",454.296502245922,13.4
"593",453.293494895155,8.375
"594",461.734718618157,8.375
"595",475.081175150963,9.571
"596",470.996393518297,8.375
"597",464.993308883666,8.375
"598",481.040721758522,8.375
"599",508.917646098966,8.375
"600",506.733634646793,8.375
"601",500.798924571672,7.444
"602",493.227873430974,7.444
"603",479.87332035594,7.444
"604",474.710575527775,6.7
"605",475.213630475921,6.7
"606",480.513869966818,6.091
"607",486.160182144611,6.091
"608",488.682009005485,7.444
"609",488.238154371225,7.444
"610",495.126234451513,8.375
"611",495.203240616054,8.375
"612",490.600943628172,8.375
"613",502.997056801566,8.375
"614",526.835723774379,8.375
"615",513.693277586732,7.444
"616",502.173103986372,8.375
"617",505.313334585907,11.167
"618",495.966888438766,9.571
"619",499.1956167135,8.375
"620",497.769138803789,8.375
"621",497.372613858867,7.444
"622",501.981544541658,7.444
"623",509.085410800706,4.786
"624",503.011976774377,4.786
"625",499.885107256743,4.786
"626",481.915350762009,11.167
"627",493.73586993541,11.167
"628",492.687327018247,11.167
"629",491.078669806255,11.167
"630",484.776647170185,11.167
"631",473.342645291837,13.4
"632",473.441373791202,13.4
"633",470.216713874607,13.4
"634",463.429016847257,13.4
"635",463.74421667516,13.4
"636",460.406859868298,8.375
"637",461.764467231211,8.375
"638",463.946639827139,8.375
"639",460.110330702037,9.571
"640",461.447952886963,8.375
"641",476.345404501418,8.375
"642",505.907592756266,8.375
"643",519.902608311353,8.375
"644",523.172559115491,7.444
"645",520.601821227155,6.7
